Date,CAC40,SNP500,WGBI
1985-01-01,1.0,1.0,1.0
1985-02-01,1.7177984308914964,1.239636570503438,1.0235623791293365
1985-03-01,1.633066237891149,1.3190846037588502,0.9832991277578244
1985-04-01,1.7487270162077455,1.2676156946344688,1.0019526779018826
1985-05-01,1.8360484102675516,1.213139104964958,1.0250878162371238
1985-06-01,2.2924956973397426,1.4303581492132105,1.030164384102301
1985-07-01,1.8198481398328823,1.6469368045597392,0.9878103169278131
1985-08-01,2.041049523157115,1.5508044938502117,1.0023207167383668
1985-09-01,2.4355884836907804,1.3568028244876238,1.0000690689505467
1985-10-01,1.9013033254610374,1.2742007919432679,0.9906056360263649
1985-11-01,2.7253428117760587,1.3168668455583739,0.9884566049650708
1985-12-01,3.542879387061707,1.5252737679637531,0.9934453565931248
1986-01-01,3.653801933406353,1.8190035031599698,0.992510952362158
1986-02-01,3.8116653220627335,1.7919491819210875,0.9916525239767928
1986-03-01,5.049974035944398,1.98027965963421,1.073989619923432
1986-04-01,6.3010102562344406,2.0521576785352837,1.044192287958322
1986-05-01,6.017528099360431,2.012113194685286,1.0638789122626988
1986-06-01,6.063789070340841,2.3745826164649615,1.0584047045822316
1986-07-01,6.550969629185985,2.4013143075173566,1.0486146741918931
1986-08-01,5.441351039960695,2.197441866482757,1.0499348778466273
1986-09-01,6.6826558477827795,2.4445494064054283,1.0306054386865058
1986-10-01,5.306778045627862,2.064334349771747,1.042599755298575
1986-11-01,6.213030794122121,2.2582161392218514,1.0193402928523505
1986-12-01,6.396792496287266,2.3933991758063664,1.011173382799858
1987-01-01,6.459575958908905,2.123810017941026,0.9993704858507321
1987-02-01,8.453007489441053,2.696123810363299,1.0106977937403796
1987-03-01,9.865869612158434,2.6544834791807697,1.018067450763705
1987-04-01,10.214582136035084,2.820224847497423,1.0200941311126022
1987-05-01,10.504476359146206,2.5735096153919734,1.0304159924221494
1987-06-01,11.614040509503015,2.3696323028861226,1.0235771796187392
1987-07-01,12.492514773146073,2.614977906967869,1.0204532896554448
1987-08-01,13.525582862664685,2.8434832553709715,1.0117318545999923
1987-09-01,13.157496450781334,3.34774585814931,0.9982121008801358
1987-10-01,13.736788037996797,2.898018396687545,1.0052650274302404
1987-11-01,7.161875945637157,2.2653781448388415,0.985455065714173
1987-12-01,9.0861484459101,2.0008736786180057,0.9862523187433401
1988-01-01,8.946585338878798,2.780438733717232,1.048489363381616
1988-02-01,8.295108384392146,2.774900070559513,1.0616775861388483
1988-03-01,10.0852609740947,2.9261833112606883,1.0553932983383985
1988-04-01,9.271506096036461,2.806394868346674,1.0612661325334491
1988-05-01,10.31505002321944,2.8706873083618305,1.0830248253542252
1988-06-01,11.41165674676482,2.9425823809458715,1.1159490073805107
1988-07-01,12.271116326850722,3.0067661124958556,1.1411453605399218
1988-08-01,12.449113664344386,3.01654059437046,1.1311175356198444
1988-09-01,11.975543651709511,2.876334845698846,1.1570055649840156
1988-10-01,13.33283255092552,3.0309845688237735,1.1578630066700872
1988-11-01,14.103428223865686,3.1224279423005283,1.1377649287603109
1988-12-01,13.82148588054232,3.062045029892616,1.151144571180487
1989-01-01,14.721741069269461,3.1022277220450265,1.197256975964005
1989-02-01,15.548671528063657,3.354293818522747,1.16949421794214
1989-03-01,14.769898099692377,3.255574269300873,1.194999407980424
1989-04-01,15.535588006693057,3.368955209906406,1.2029295102024706
1989-05-01,15.788364168432725,3.519912490926188,1.2403342937206456
1989-06-01,16.363789550218577,3.6843366959257198,1.2541165094525792
1989-07-01,16.585309893695825,3.6619646263644983,1.248006867427083
1989-08-01,17.631671059288546,3.9506296813546564,1.2709328255120969
1989-09-01,18.18020179660218,4.081061279579914,1.241762047598374
1989-10-01,18.09379243614966,4.0572773256844386,1.2366696925445
1989-11-01,17.5570741354753,3.9532363645210666,1.21720902237834
1989-12-01,18.519024627077844,4.078237510911406,1.17827090815803
1990-01-01,19.18585719462106,4.193790632250906,1.1466767967794136
1990-02-01,18.293414851310548,3.8410498913194417,1.1381773690650037
1990-03-01,17.684551955218193,3.9038220699634194,1.1229743063503967
1990-04-01,18.79833163242422,3.9826675243253096,1.110153135730355
1990-05-01,19.97389867187101,3.914899727707105,1.1542112325847576
1990-06-01,20.20468595507794,4.300003774148245,1.147433595137546
1990-07-01,20.044498222759568,4.2660111673739705,1.1279877254607884
1990-08-01,19.443539122300216,4.227022942625468,1.1075541697912143
1990-09-01,16.308273316311947,3.858860845338879,1.1211775269368907
1990-10-01,15.284537680766602,3.771761501901811,1.1245845995974268
1990-11-01,16.21686723970356,3.6854227862927034,1.1425642341240083
1990-12-01,16.32381138437576,3.9096866928025324,1.1480887634684454
1991-01-01,14.936719652061408,3.9470459477146833,1.1608694794174528
1991-02-01,15.684963754752308,4.155996874906313,1.2000187472865769
1991-03-01,17.36435617271624,4.506131264099614,1.2925218060543866
1991-04-01,18.16893506126117,4.525896650494426,1.3165331333622765
1991-05-01,18.15294335126445,4.643730329604818,1.3399297470103015
1991-06-01,18.612065589283063,4.76091242078067,1.3771539645577613
1991-07-01,17.97112943212987,4.645250922404244,1.3576952677901883
1991-08-01,18.141130914625176,4.766451249652513,1.386951888542448
1991-09-01,19.134066592138968,4.847903055752566,1.3757301574772074
1991-10-01,19.37902879931303,4.822815594559762,1.397382286774283
1991-11-01,18.90818396572254,4.856699824297111,1.385845798634408
1991-12-01,17.55262201146872,4.753201742603108,1.368928839246951
1992-01-01,17.97512791420354,5.211177912101853,1.4134427911749612
1992-02-01,19.08381992503733,5.122558307293605,1.431499388246438
