Date,salaire_mensuel,taux_cotisation,cotisations,CAC40_Norm,SP500_Norm,WGBI_Norm,CAC40_50/50,CAC40_75/25,SNP500_50/50,SNP500_75/25
2005-02-01,1797.8458325497297,19.08834049332918,343.1789340622212,4.5395700508679635,7.065012207487777,3.4566414729447055,114089.50648468222,111183.70500868338,125293.90683590081,131028.35193639003
2005-03-01,1797.8458325497297,19.08834049332918,343.1789340622212,4.669034945737738,7.1985645786735235,3.4841457157516675,116513.45692291803,114126.2066222042,127319.80003048133,133489.83233557447
2005-04-01,1797.8458325497297,19.08834049332918,343.1789340622212,4.717930604445097,7.060944900529941,3.561112207443659,118753.63911332875,115996.03673790598,127852.22941005006,132656.21579830552
2005-05-01,1797.8458325497297,19.08834049332918,343.1789340622212,4.556386666837594,6.918959310412235,3.6474365552354264,118503.07457925376,114063.36099888162,128459.56747574027,131802.67292259642
2005-06-01,1797.8458325497297,19.08834049332918,343.1789340622212,4.785023216589285,7.126196302317137,3.6869854363184293,122461.91748726138,119008.45457031934,131422.9986165412,135463.95333575847
2005-07-01,1797.8458325497297,19.08834049332918,343.1789340622212,4.899619824127748,7.1251792930562745,3.638870031969057,123472.44968894904,121100.96817195839,130899.26016596994,135350.67940687947
2005-08-01,1797.8458325497297,19.08834049332918,343.1789340622212,5.169648376542026,7.381459786108643,3.6582004578284724,127545.99984659241,126610.57589820027,133944.23206579857,139524.86005325918
2005-09-01,1797.8458325497297,19.08834049332918,343.1789340622212,5.130459817196312,7.2986242722985715,3.659551249161306,127429.2952578326,126245.61324358148,133560.57237729337,138706.59695350748
2005-10-01,1797.8458325497297,19.08834049332918,343.1789340622212,5.346535437569556,7.3493425898454765,3.6169988554288195,129715.0360731114,130209.54553277815,133591.30381912744,139369.4706732629
2005-11-01,1797.8458325497297,19.08834049332918,343.1789340622212,5.141141222450189,7.218959520311849,3.629517109365749,127791.09651212126,126913.7580088985,132980.65223598795,137978.84498517436
2005-12-01,1797.8458325497297,19.08834049332918,343.1789340622212,5.313737486764294,7.472966526760969,3.668208548762679,130960.49073412111,130790.69108720067,136372.1674963586,142330.94773875893
2006-01-01,1837.9859127006255,19.319772983683098,355.09470580583667,5.487922767256026,7.4658496521917765,3.608629672021155,132398.51260993874,133830.2186430703,135554.84995473226,142006.44766077347
2006-02-01,1837.9859127006255,19.319772983683098,355.09470580583667,5.737098738519654,7.655980738151235,3.655956703635001,136627.54696446293,139181.47079591712,138524.9150208832,145539.47886389703
2006-03-01,1837.9859127006255,19.319772983683098,355.09470580583667,5.8089346149203624,7.659450104990874,3.560413624343845,136052.73771345767,139934.2881340164,137101.32355788772,144993.17249037462
2006-04-01,1837.9859127006255,19.319772983683098,355.09470580583667,6.090584051504655,7.792344669038045,3.5014159134862055,138578.9002835474,144798.2828087879,137509.88366147163,146634.38384461644
2006-05-01,1837.9859127006255,19.319772983683098,355.09470580583667,6.016103590089865,7.838576610484449,3.4970971306784553,138001.20468263875,143780.6969217724,138188.09606481303,147596.74820228328
2006-06-01,1837.9859127006255,19.319772983683098,355.09470580583667,5.714320763568603,7.59599325364388,3.477070095117812,134499.90644581144,138520.64229772394,136009.2264478576,144314.73137081604
2006-07-01,1837.9859127006255,19.319772983683098,355.09470580583667,5.760641774360218,7.596053120664261,3.5110401783952323,136057.15262402216,140056.2142493143,137029.24475906292,145023.15860810885
2006-08-01,1837.9859127006255,19.319772983683098,355.09470580583667,5.8115327639663175,7.646710841105171,3.5328156451039976,137435.1423961398,141556.43550828713,138266.18785467884,146328.4761350558
2006-09-01,1837.9859127006255,19.319772983683098,355.09470580583667,6.009887399576037,7.7978473243137945,3.5599232347949634,140662.9265086294,145806.6929494555,140518.15532925495,149133.39438726415
2006-10-01,1837.9859127006255,19.319772983683098,355.09470580583667,6.110381063818848,7.989353891570787,3.5659707147649686,142313.53772694804,148052.27836231832,142718.08962884973,152298.7391128469
