Date,CAC40_TR
1987-12-01,1000.0
1988-01-01,984.6400146484375
1988-02-01,912.9400024414062
1988-03-01,1109.9599609375
1988-04-01,1020.4000244140625
1988-05-01,1135.25
1988-06-01,1255.93994140625
1988-07-01,1350.530029296875
1988-08-01,1370.1199951171875
1988-09-01,1318.0
1988-10-01,1467.3800048828125
1988-11-01,1552.18994140625
1988-12-01,1521.1600341796875
1989-01-01,1620.239990234375
1989-02-01,1711.25
1989-03-01,1625.5400390625
1989-04-01,1709.81005859375
1989-05-01,1737.6300048828125
1989-06-01,1800.9599609375
1989-07-01,1825.3399658203125
1989-08-01,1940.5
1989-09-01,2000.8699951171875
1989-10-01,1991.3599853515625
1989-11-01,1932.2900390625
1989-12-01,2038.1600341796875
1990-01-01,2111.550048828125
1990-02-01,2013.3299560546875
1990-03-01,1946.3199462890625
1990-04-01,2068.89990234375
1990-05-01,2198.280029296875
1990-06-01,2223.679931640625
1990-07-01,2206.050048828125
1990-08-01,2139.909912109375
1990-09-01,1794.8499755859375
1990-10-01,1682.1800537109375
1990-11-01,1784.7900390625
1990-12-01,1796.56005859375
1991-01-01,1643.9000244140625
1991-02-01,1726.25
1991-03-01,1911.0799560546875
1991-04-01,1999.6300048828125
1991-05-01,1997.8699951171875
1991-06-01,2048.39990234375
1991-07-01,1977.8599853515625
1991-08-01,1996.5699462890625
1991-09-01,2105.85009765625
1991-10-01,2132.81005859375
1991-11-01,2080.989990234375
1991-12-01,1931.800048828125
1992-01-01,1978.300048828125
1992-02-01,2100.320068359375
1992-03-01,2239.080078125
1992-04-01,2181.409912109375
1992-05-01,2311.159912109375
1992-06-01,2293.409912109375
1992-07-01,2172.85009765625
1992-08-01,2083.080078125
1992-09-01,1954.4300537109375
1992-10-01,2012.530029296875
1992-11-01,2085.989990234375
1992-12-01,2093.090087890625
1993-01-01,2152.39990234375
1993-02-01,2086.64990234375
1993-03-01,2335.75
1993-04-01,2344.719970703125
1993-05-01,2265.449951171875
1993-06-01,2198.14990234375
1993-07-01,2339.080078125
1993-08-01,2566.760009765625
1993-09-01,2642.590087890625
1993-10-01,2551.919921875
1993-11-01,2615.81005859375
1993-12-01,2597.610107421875
1994-01-01,2762.320068359375
1994-02-01,2812.43994140625
1994-03-01,2633.68994140625
1994-04-01,2534.3701171875
1994-05-01,2639.610107421875
1994-06-01,2397.280029296875
1994-07-01,2311.260009765625
1994-08-01,2573.719970703125
1994-09-01,2530.610107421875
1994-10-01,2304.18994140625
1994-11-01,2330.030029296875
1994-12-01,2443.530029296875
1995-01-01,2346.409912109375
1995-02-01,2275.1201171875
1995-03-01,2250.929931640625
1995-04-01,2320.7900390625
1995-05-01,2413.2099609375
1995-06-01,2452.3798828125
1995-07-01,2404.72998046875
1995-08-01,2464.469970703125
1995-09-01,2418.010009765625
1995-10-01,2288.27001953125
1995-11-01,2349.9599609375
1995-12-01,2341.06005859375
1996-01-01,2453.56005859375
1996-02-01,2603.139892578125
1996-03-01,2594.22998046875
1996-04-01,2644.35009765625
1996-05-01,2754.47998046875
1996-06-01,2752.219970703125
1996-07-01,2795.320068359375
1996-08-01,2662.669921875
1996-09-01,2619.0400390625
1996-10-01,2812.760009765625
1996-11-01,2837.89990234375
1996-12-01,3073.010009765625
1997-01-01,2992.919921875
1997-02-01,3327.340087890625
1997-03-01,3448.97998046875
1997-04-01,3425.18994140625
1997-05-01,3525.25
1997-06-01,3475.389892578125
1997-07-01,3997.5
1997-08-01,4150.31005859375
1997-09-01,3818.75
1997-10-01,4157.77978515625
1997-11-01,3794.469970703125
1997-12-01,3973.320068359375
1998-01-01,4138.9501953125
1998-02-01,4340.16015625
1998-03-01,4693.08984375
1998-04-01,5287.6298828125
1998-05-01,5414.66015625
1998-06-01,5602.2001953125
1998-07-01,5906.60986328125
1998-08-01,5683.759765625
1998-09-01,5060.91015625
1998-10-01,4216.64990234375
1998-11-01,4954.47998046875
1998-12-01,5120.509765625
1999-01-01,5757.97998046875
1999-02-01,5975.68017578125
1999-03-01,5598.18994140625
1999-04-01,5873.43017578125
1999-05-01,6174.16015625
1999-06-01,6035.77001953125
1999-07-01,6508.7998046875
1999-08-01,6198.2001953125
1999-09-01,6559.93994140625
1999-10-01,6442.740234375
1999-11-01,6935.3798828125
1999-12-01,7620.259765625
2000-01-01,8379.2197265625
2000-02-01,8175.58984375
2000-03-01,8859.3896484375
2000-04-01,8681.580078125
2000-05-01,9307.25
2000-06-01,9414.2099609375
2000-07-01,9348.98046875
2000-08-01,9385.830078125
2000-09-01,9790.1103515625
2000-10-01,9124.08984375
2000-11-01,9209.9697265625
2000-12-01,8520.58984375
2001-01-01,8334.3203125
2001-02-01,8479.2197265625
2001-03-01,7676.72998046875
2001-04-01,7489.419921875
2001-05-01,8022.5498046875
2001-06-01,7909.669921875
2001-07-01,7769.2998046875
2001-08-01,7500.68017578125
2001-09-01,6792.52978515625
2001-10-01,5875.2099609375
2001-11-01,6406.81005859375
2001-12-01,6548.97021484375
2002-01-01,6721.25
2002-02-01,6538.0498046875
2002-03-01,6583.3701171875
2002-04-01,6791.14990234375
2002-05-01,6517.9501953125
2002-06-01,6318.93994140625
2002-07-01,5874.89990234375
2002-08-01,4885.0400390625
2002-09-01,4933.3798828125
2002-10-01,4263.81005859375
2002-11-01,4687.31982421875
2002-12-01,4972.58984375
2003-01-01,4817.39013671875
2003-02-01,4459.68017578125
2003-03-01,4164.8798828125
2003-04-01,3974.110107421875
2003-05-01,4499.9501953125
2003-06-01,4707.8701171875
2003-07-01,4689.009765625
