Date,CAC40
1990-03-01,1836.0
1990-04-01,1951.0
1990-05-01,2056.0
1990-06-01,2102.0
1990-07-01,2025.0
1990-08-01,1959.0
1990-09-01,1668.0
1990-10-01,1515.0
1990-11-01,1630.0
1990-12-01,1628.0
1991-01-01,1504.0
1991-02-01,1577.0
1991-03-01,1746.0
1991-04-01,1815.0
1991-05-01,1793.0
1991-06-01,1864.5
1991-07-01,1767.699951171875
1991-08-01,1762.0999755859375
1991-09-01,1859.9000244140625
1991-10-01,1888.0
1991-11-01,1854.699951171875
1991-12-01,1720.0999755859375
1992-01-01,1755.300048828125
1992-02-01,1869.0999755859375
1992-03-01,1974.800048828125
1992-04-01,1933.4000244140625
1992-05-01,2023.699951171875
1992-06-01,2027.9000244140625
1992-07-01,1893.0
1992-08-01,1755.5
1992-09-01,1680.300048828125
1992-10-01,1758.4000244140625
1992-11-01,1770.0999755859375
1992-12-01,1771.9000244140625
1993-01-01,1834.5
1993-02-01,1766.300048828125
1993-03-01,2005.199951171875
1993-04-01,2023.199951171875
1993-05-01,1925.300048828125
1993-06-01,1870.800048828125
1993-07-01,1982.699951171875
1993-08-01,2131.199951171875
1993-09-01,2205.10009765625
1993-10-01,2114.39990234375
1993-11-01,2174.300048828125
1993-12-01,2118.60009765625
1994-01-01,2263.0
1994-02-01,2339.10009765625
1994-03-01,2241.699951171875
1994-04-01,2067.800048828125
1994-05-01,2178.10009765625
1994-06-01,2043.4000244140625
1994-07-01,1899.300048828125
1994-08-01,2077.199951171875
1994-09-01,2064.800048828125
1994-10-01,1865.300048828125
1994-11-01,1880.4000244140625
1994-12-01,1976.199951171875
1995-01-01,1883.4000244140625
1995-02-01,1811.0999755859375
1995-03-01,1786.800048828125
1995-04-01,1847.800048828125
1995-05-01,1912.9000244140625
1995-06-01,1963.4000244140625
1995-07-01,1858.699951171875
1995-08-01,1929.699951171875
1995-09-01,1885.699951171875
1995-10-01,1788.300048828125
1995-11-01,1835.0999755859375
1995-12-01,1828.4000244140625
1996-01-01,1873.4000244140625
1996-02-01,2021.0999755859375
1996-03-01,2004.5
1996-04-01,2059.39990234375
1996-05-01,2154.89990234375
1996-06-01,2105.39990234375
1996-07-01,2110.89990234375
1996-08-01,2003.0
1996-09-01,1972.699951171875
1996-10-01,2131.5
1996-11-01,2121.60009765625
1996-12-01,2308.0
1997-01-01,2305.89990234375
1997-02-01,2519.699951171875
1997-03-01,2616.89990234375
1997-04-01,2585.10009765625
1997-05-01,2646.10009765625
1997-06-01,2512.60009765625
1997-07-01,2866.10009765625
1997-08-01,3097.199951171875
1997-09-01,2796.39990234375
1997-10-01,2999.10009765625
1997-11-01,2746.0
1997-12-01,2878.39990234375
1998-01-01,3012.0
1998-02-01,3206.300048828125
1998-03-01,3420.800048828125
1998-04-01,3885.300048828125
1998-05-01,3948.469970703125
1998-06-01,4061.93994140625
1998-07-01,4260.740234375
1998-08-01,4091.6201171875
1998-09-01,3563.510009765625
1998-10-01,3129.340087890625
1998-11-01,3552.449951171875
1998-12-01,3756.97998046875
1999-01-01,4030.43994140625
1999-02-01,4310.68994140625
1999-03-01,4096.27001953125
1999-04-01,4154.75
1999-05-01,4413.72021484375
1999-06-01,4323.080078125
1999-07-01,4608.580078125
1999-08-01,4321.18017578125
1999-09-01,4606.7998046875
1999-10-01,4588.7998046875
1999-11-01,4872.8798828125
1999-12-01,5315.75
2000-01-01,6024.3798828125
2000-02-01,5700.8701171875
2000-03-01,6272.1298828125
2000-04-01,6382.27978515625
2000-05-01,6489.0400390625
2000-06-01,6428.4599609375
2000-07-01,6462.02978515625
2000-08-01,6524.669921875
2000-09-01,6648.64013671875
2000-10-01,6150.490234375
2000-11-01,6434.89990234375
2000-12-01,5942.35986328125
2001-01-01,5956.14990234375
2001-02-01,5936.31005859375
2001-03-01,5334.22998046875
2001-04-01,5218.47998046875
2001-05-01,5661.080078125
2001-06-01,5453.2900390625
2001-07-01,5215.75
2001-08-01,5073.75
2001-09-01,4712.08984375
2001-10-01,4097.22021484375
2001-11-01,4325.18994140625
2001-12-01,4439.5498046875
2002-01-01,4617.9501953125
2002-02-01,4483.89990234375
2002-03-01,4442.39990234375
2002-04-01,4673.02978515625
2002-05-01,4474.6298828125
2002-06-01,4247.580078125
2002-07-01,3886.1201171875
2002-08-01,3426.93994140625
2002-09-01,3345.639892578125
2002-10-01,2789.68994140625
2002-11-01,3125.199951171875
2002-12-01,3327.070068359375
2003-01-01,3057.06005859375
2003-02-01,2973.929931640625
2003-03-01,2770.679931640625
2003-04-01,2627.719970703125
2003-05-01,2945.409912109375
2003-06-01,3018.659912109375
2003-07-01,3085.590087890625
2003-08-01,3200.81005859375
2003-09-01,3335.5400390625
2003-10-01,3137.10009765625
2003-11-01,3381.97998046875
2003-12-01,3450.659912109375
2004-01-01,3563.389892578125
2004-02-01,3660.2900390625
2004-03-01,3735.300048828125
2004-04-01,3647.9599609375
2004-05-01,3652.300048828125
2004-06-01,3668.139892578125
2004-07-01,3749.31005859375
2004-08-01,3622.85009765625
2004-09-01,3606.080078125
2004-10-01,3656.300048828125
2004-11-01,3697.93994140625
2004-12-01,3751.739990234375
2005-01-01,3830.580078125
2005-02-01,3914.2099609375
2005-03-01,4025.840087890625
2005-04-01,4068.0
2005-05-01,3928.7099609375
2005-06-01,4125.85009765625
2005-07-01,4224.66015625
2005-08-01,4457.490234375
2005-09-01,4423.7001953125
2005-10-01,4610.009765625
2005-11-01,4432.91015625
2005-12-01,4581.72998046875
2006-01-01,4731.919921875
2006-02-01,4946.77001953125
