Date,SP500_TR
1988-01-01,256.0199890136719
1988-02-01,255.50999450683594
1988-03-01,269.44000244140625
1988-04-01,258.4100036621094
1988-05-01,264.3299865722656
1988-06-01,270.95001220703125
1988-07-01,276.8599853515625
1988-08-01,277.760009765625
1988-09-01,264.8500061035156
1988-10-01,279.0899963378906
1988-11-01,287.510009765625
1988-12-01,281.95001220703125
1989-01-01,285.6499938964844
1989-02-01,308.8599853515625
1989-03-01,299.7699890136719
1989-04-01,310.2099914550781
1989-05-01,324.1099853515625
1989-06-01,339.25
1989-07-01,337.19000244140625
1989-08-01,363.7699890136719
1989-09-01,375.7799987792969
1989-10-01,373.5899963378906
1989-11-01,364.010009765625
1989-12-01,375.5199890136719
1990-01-01,386.1600036621094
1990-02-01,353.67999267578125
1990-03-01,359.4599914550781
1990-04-01,366.7200012207031
1990-05-01,360.4800109863281
1990-06-01,395.94000244140625
1990-07-01,392.80999755859375
1990-08-01,389.2200012207031
1990-09-01,355.32000732421875
1990-10-01,347.29998779296875
1990-11-01,339.3500061035156
1990-12-01,360.0
1991-01-01,363.44000244140625
1991-02-01,382.67999267578125
1991-03-01,414.9200134277344
1991-04-01,416.739990234375
1991-05-01,427.5899963378906
1991-06-01,438.3800048828125
1991-07-01,427.7300109863281
1991-08-01,438.8900146484375
1991-09-01,446.3900146484375
1991-10-01,444.0799865722656
1991-11-01,447.20001220703125
1991-12-01,437.6700134277344
1992-01-01,479.8399963378906
1992-02-01,471.67999267578125
1992-03-01,476.6600036621094
1992-04-01,468.1600036621094
1992-05-01,478.45001220703125
1992-06-01,486.0400085449219
1992-07-01,481.95001220703125
1992-08-01,497.04998779296875
1992-09-01,488.2300109863281
1992-10-01,489.6600036621094
1992-11-01,498.0799865722656
1992-12-01,509.4200134277344
1993-01-01,516.0
1993-02-01,525.030029296875
1993-03-01,526.0700073242188
1993-04-01,537.0900268554688
1993-05-01,528.5499877929688
1993-06-01,544.2000122070312
1993-07-01,539.5599975585938
1993-08-01,541.75
1993-09-01,559.2000122070312
1993-10-01,558.239990234375
1993-11-01,568.489990234375
1993-12-01,561.5800170898438
1994-01-01,567.0999755859375
1994-02-01,585.27001953125
1994-03-01,568.3300170898438
1994-04-01,538.3699951171875
1994-05-01,556.4400024414062
1994-06-01,564.1900024414062
1994-07-01,551.469970703125
1994-08-01,570.5399780273438
1994-09-01,587.4500122070312
1994-10-01,574.8200073242188
1994-11-01,583.97998046875
1994-12-01,561.4299926757812
1995-01-01,575.52001953125
1995-02-01,590.6500244140625
1995-03-01,611.6400146484375
1995-04-01,633.3300170898438
1995-05-01,649.9500122070312
1995-06-01,676.530029296875
1995-07-01,695.0800170898438
1995-08-01,711.9500122070312
1995-09-01,719.3400268554688
1995-10-01,743.6500244140625
1995-11-01,748.010009765625
1995-12-01,779.1500244140625
1996-01-01,798.219970703125
1996-02-01,822.2999877929688
1996-03-01,831.7000122070312
1996-04-01,845.2000122070312
1996-05-01,847.489990234375
1996-06-01,866.8300170898438
1996-07-01,878.969970703125
1996-08-01,846.77001953125
1996-09-01,854.6300048828125
1996-10-01,901.2899780273438
1996-11-01,921.9099731445312
1996-12-01,993.0
1997-01-01,969.0499877929688
1997-02-01,1035.5899658203125
1997-03-01,1048.780029296875
1997-04-01,1003.3300170898438
1997-05-01,1056.1300048828125
1997-06-01,1121.68994140625
1997-07-01,1182.5699462890625
1997-08-01,1258.5899658203125
1997-09-01,1234.43994140625
1997-10-01,1273.510009765625
1997-11-01,1252.9599609375
1997-12-01,1302.8199462890625
1998-01-01,1305.0400390625
1998-02-01,1341.3199462890625
1998-03-01,1405.72998046875
1998-04-01,1488.699951171875
1998-05-01,1507.3299560546875
1998-06-01,1469.4599609375
1998-07-01,1548.77001953125
1998-08-01,1501.530029296875
1998-09-01,1343.93994140625
1998-10-01,1335.3599853515625
1998-11-01,1506.31005859375
1998-12-01,1594.8699951171875
1999-01-01,1668.52001953125
1999-02-01,1730.81005859375
1999-03-01,1682.8599853515625
1999-04-01,1763.31005859375
1999-05-01,1847.6300048828125
1999-06-01,1767.800048828125
1999-07-01,1888.1500244140625
1999-08-01,1817.27001953125
1999-09-01,1824.199951171875
1999-10-01,1759.77001953125
1999-11-01,1858.8599853515625
1999-12-01,1921.489990234375
2000-01-01,2002.1099853515625
2000-02-01,1940.239990234375
2000-03-01,1901.510009765625
2000-04-01,2077.969970703125
2000-05-01,2027.4000244140625
2000-06-01,2003.449951171875
2000-07-01,2033.5799560546875
2000-08-01,1991.4300537109375
2000-09-01,2108.760009765625
2000-10-01,1992.93994140625
2000-11-01,1973.719970703125
2000-12-01,1828.81005859375
2001-01-01,1785.8599853515625
2001-02-01,1913.1099853515625
2001-03-01,1730.9200439453125
2001-04-01,1599.3599853515625
2001-05-01,1769.1199951171875
2001-06-01,1763.8699951171875
2001-07-01,1731.530029296875
2001-08-01,1704.239990234375
2001-09-01,1590.2900390625
2001-10-01,1459.3299560546875
2001-11-01,1524.9599609375
2001-12-01,1591.47998046875
2002-01-01,1628.510009765625
2002-02-01,1584.06005859375
2002-03-01,1600.02001953125
2002-04-01,1622.22998046875
2002-05-01,1538.6500244140625
2002-06-01,1476.260009765625
2002-07-01,1375.8800048828125
2002-08-01,1258.219970703125
2002-09-01,1250.6800537109375
2002-10-01,1209.5899658203125
2002-11-01,1287.1300048828125
2002-12-01,1337.3499755859375
2003-01-01,1303.1700439453125
2003-02-01,1234.7900390625
2003-03-01,1200.5999755859375
2003-04-01,1236.300048828125
2003-05-01,1321.3900146484375
2003-06-01,1396.699951171875
