Date,SP500_PR
1985-01-01,167.1999969482422
1985-02-01,179.6300048828125
1985-03-01,181.17999267578125
1985-04-01,180.66000366210938
1985-05-01,179.8300018310547
1985-06-01,189.5500030517578
1985-07-01,191.85000610351562
1985-08-01,190.9199981689453
1985-09-01,188.6300048828125
1985-10-01,182.05999755859375
1985-11-01,189.82000732421875
1985-12-01,202.1699981689453
1986-01-01,211.27999877929688
1986-02-01,211.77999877929688
1986-03-01,226.9199981689453
1986-04-01,238.89999389648438
1986-05-01,235.52000427246094
1986-06-01,246.0399932861328
1986-07-01,250.6699981689453
1986-08-01,236.1199951171875
1986-09-01,252.92999267578125
1986-10-01,231.32000732421875
1986-11-01,243.97000122070312
1986-12-01,249.22000122070312
1987-01-01,242.1699981689453
1987-02-01,274.0799865722656
1987-03-01,284.1700134277344
1987-04-01,291.5899963378906
1987-05-01,286.989990234375
1987-06-01,290.1199951171875
1987-07-01,303.989990234375
1987-08-01,318.6199951171875
1987-09-01,329.80999755859375
1987-10-01,321.8299865722656
1987-11-01,251.72999572753906
1987-12-01,230.32000732421875
1988-01-01,247.10000610351562
1988-02-01,257.04998779296875
1988-03-01,267.82000732421875
1988-04-01,258.8900146484375
1988-05-01,261.3599853515625
1988-06-01,262.1600036621094
1988-07-01,273.5
1988-08-01,272.0299987792969
1988-09-01,261.5199890136719
1988-10-01,271.8900146484375
1988-11-01,278.9700012207031
1988-12-01,273.67999267578125
1989-01-01,277.7200012207031
1989-02-01,297.4700012207031
1989-03-01,288.8599853515625
1989-04-01,294.8699951171875
1989-05-01,309.6400146484375
1989-06-01,320.510009765625
1989-07-01,317.9800109863281
1989-08-01,346.0799865722656
1989-09-01,351.45001220703125
1989-10-01,349.1499938964844
1989-11-01,340.3599853515625
1989-12-01,346.010009765625
1990-01-01,353.3999938964844
1990-02-01,329.0799865722656
1990-03-01,331.8900146484375
1990-04-01,339.94000244140625
1990-05-01,330.79998779296875
1990-06-01,361.260009765625
1990-07-01,358.0199890136719
1990-08-01,356.1499938964844
1990-09-01,322.55999755859375
1990-10-01,306.1000061035156
1990-11-01,303.989990234375
1990-12-01,322.2300109863281
1991-01-01,330.20001220703125
1991-02-01,343.9100036621094
1991-03-01,367.07000732421875
1991-04-01,375.2200012207031
1991-05-01,375.3500061035156
1991-06-01,389.80999755859375
1991-07-01,371.17999267578125
1991-08-01,387.80999755859375
1991-09-01,395.42999267578125
1991-10-01,387.8599853515625
1991-11-01,392.4599914550781
1991-12-01,375.1099853515625
