Date,salaire_mensuel,taux_cotisation,cotisations,cotisations_cumulees,SP500_var,CAC40_var,WGBI_var,CAC40_50/50,SNP500_50/50,CAC40_75/25,SNP500_75/25
2002-04-01,1682.60918642193,18.41054462570867,309.77751514248297,48371.82587654217,0.013881051903342323,0.03156131000652529,0.002799589097165267,121202.35317613283,117401.2478264668,133023.1446806552,129486.32934194601
2002-05-01,1682.60918642193,18.41054462570867,309.77751514248297,48681.60339168465,-0.051521644317371496,-0.04022878466236823,-0.00825707735275516,118523.4447878408,114153.17164132616,128989.50731917584,124471.47135517806
2002-06-01,1682.60918642193,18.41054462570867,309.77751514248297,48991.38090682713,-0.04054854168165789,-0.03053264415082091,-0.00829429797107839,116482.99888210374,111627.71145928017,126024.39958447492,120686.05088053629
2002-07-01,1682.60918642193,18.41054462570867,309.77751514248297,49301.15842196961,-0.06799615529702596,-0.07027128651007264,0.01724724900612795,113656.15323480408,109058.5915435287,120183.25791818698,115311.39241215843
2002-08-01,1682.60918642193,18.41054462570867,309.77751514248297,49610.93593711209,-0.08551620327508791,-0.1684896559490916,0.017140342448882517,105317.79181627098,105594.54424458015,105770.84218515281,108671.6081031706
2002-09-01,1682.60918642193,18.41054462570867,309.77751514248297,49920.71345225457,-0.005992526877453663,0.009895485679433103,0.0031475763327062367,106270.62040676195,105710.21891207228,106904.87003155611,108533.30911376892
2002-10-01,1682.60918642193,18.41054462570867,309.77751514248297,50230.49096739705,-0.03285419621805363,-0.13572233238139186,-0.0061116797401853384,98999.82541597268,103916.50548115041,96124.82979546863,105957.80653918996
2002-11-01,1682.60918642193,18.41054462570867,309.77751514248297,50540.268482539526,0.06410440004759321,0.09932660221845757,-0.0032743769915064558,104023.02399820609,107343.7050745152,103476.77410847797,111231.07058420387
2002-12-01,1682.60918642193,18.41054462570867,309.77751514248297,50850.045997682006,0.039017014996629795,0.06085994347074375,-0.00436275206965131,107228.06194655247,109468.81670757414,108353.8668820209,114628.2175580655
2003-01-01,1720.1764051360192,18.63375932543538,320.5335313059721,51170.579528987975,-0.02555795585643139,-0.03121104131005681,-0.009064105937232059,105344.70618876633,107848.82435847542,105847.44560882902,112444.10066768434
2003-02-01,1720.1764051360192,18.63375932543538,320.5335313059721,51491.113060293945,-0.052472050904265655,-0.07425389075528466,0.009977733563974356,102235.86991476525,105833.0424489758,100493.31769117386,108573.24440587695
2003-03-01,1720.1764051360192,18.63375932543538,320.5335313059721,51811.646591599914,-0.02768896929434328,-0.06610346064044981,-0.00925579086324202,98661.69316048111,104154.59142846042,95557.32132262379,106342.69869394573
2003-04-01,1720.1764051360192,18.63375932543538,320.5335313059721,52132.180122905884,0.029735194043098767,-0.045804388303703036,-0.010496733596665031,96163.8295545717,105433.71334371834,92304.66183230739,108711.55182778934
2003-05-01,1720.1764051360192,18.63375932543538,320.5335313059721,52452.71365421185,0.06882630628460173,0.1323164365548375,-0.009968186394295864,102327.12449177506,108813.23158548478,101516.86337518794,114327.63902232917
2003-06-01,1720.1764051360192,18.63375932543538,320.5335313059721,52773.24718551782,0.05699296626172412,0.04620493846611584,0.007801420088627609,105368.27680600071,112613.77312480783,105511.12408285867,119710.52779705591
2003-07-01,1720.1764051360192,18.63375932543538,320.5335313059721,53093.78071682379,0.017419688534095146,-0.0040061325170472895,-0.010189874950832678,104897.1027582671,113294.57973220498,105201.99012469391,121240.32713910639
2003-08-01,1720.1764051360192,18.63375932543538,320.5335313059721,53414.31424812976,-0.0009781740144684248,0.05197690493853435,0.01969922095780796,108933.33797851895,114628.51159768521,110097.94431921878,122018.59866183354
2003-09-01,1720.1764051360192,18.63375932543538,320.5335313059721,53734.84777943573,0.044356294591145984,0.059593766960981176,-0.003583391713685269,112259.28487270005,117238.260940271,115194.94091283724,126238.31682238502
2003-10-01,1720.1764051360192,18.63375932543538,320.5335313059721,54055.3813107417,-0.002279766706151709,-0.049874811535331576,-0.0030649515095939606,109561.66058244901,117196.75405171899,111070.3249942674,126193.79719768676
2003-11-01,1720.1764051360192,18.63375932543538,320.5335313059721,54375.91484204767,0.04156215144400188,0.07773852875622844,-0.013866178862489975,113335.62806486829,119091.50619604091,117435.4874346409,129958.0779361829
2003-12-01,1720.1764051360192,18.63375932543538,320.5335313059721,54696.44837335364,0.012195701682272908,0.014882101746197085,-0.01193375128879337,113776.1228685736,119378.12965379411,118667.60497010394,131025.56158256679
