Date,SP500_TR,CAC40_TR,WGBI_TR
1985-08-01,192.27652004693866,762.5700073761709,10023.207167383667
1985-09-01,191.88890200837022,761.268321439409,10000.690689505467
1985-10-01,189.01182456252758,751.3570947335108,9906.056360263648
1985-11-01,194.4931548213238,770.390877462162,9884.566049650708
1985-12-01,202.69894538713493,798.7300845220059,9934.453565931248
1986-01-01,209.07249115176631,820.5768058238298,9925.10952362158
1986-02-01,210.3716518827082,825.0558922425575,9916.525239767929
1986-03-01,220.3935568460599,859.1700484053492,10739.89619923432
1986-04-01,228.62251684513961,886.9508881297031,10441.92287958322
1986-05-01,227.60424607074177,883.6617229727949,10638.789122626988
1986-06-01,235.01206665916936,908.5608245011089,10584.047045822315
1986-07-01,238.8856650162192,921.5668521397105,10486.146741918932
1986-08-01,231.05591050681994,895.7170005332318,10499.348778466274
1986-09-01,242.29974122870743,933.4510306582849,10306.054386865058
1986-10-01,230.1673107415946,893.3462307195977,10425.997552985751
1986-11-01,238.88068319139427,922.7065505278749,10193.402928523505
1986-12-01,243.1749195416284,937.1257199141876,10111.73382799858
1987-01-01,239.99486325093173,926.6478585152117,9993.70485850732
1987-02-01,260.477588978358,995.1483445023371,10106.977937403795
1987-03-01,267.8528266145705,1019.5108791480085,10180.674507637052
1987-04-01,273.6156373116581,1038.4955823937808,10200.941311126022
1987-05-01,271.905630389503,1033.0953316091088,10304.159924221494
1987-06-01,275.0274256893741,1043.4353377394673,10235.771796187391
1987-07-01,284.8628705177341,1075.6332309767843,10204.532896554449
1987-08-01,295.25203263104487,1109.4324214362964,10117.318545999922
1987-09-01,303.54422612804825,1136.2889853459087,9982.121008801358
1987-10-01,299.6846920487527,1124.1623938045523,10052.650274302405
1987-11-01,256.47451344956085,985.6497822627142,9854.55065714173
1987-12-01,244.76231865156478,988.0907842727547,9862.5231874334
1988-01-01,256.0199890136719,984.6400146484376,10484.893633816158
1988-02-01,255.50999450683597,912.9400024414062,10616.775861388483
1988-03-01,269.44000244140625,1109.9599609375,10553.932983383984
1988-04-01,258.4100036621094,1020.4000244140624,10612.661325334491
1988-05-01,264.3299865722656,1135.25,10830.248253542251
1988-06-01,270.95001220703125,1255.93994140625,11159.490073805107
1988-07-01,276.8599853515625,1350.530029296875,11411.453605399218
1988-08-01,277.760009765625,1370.1199951171875,11311.175356198444
1988-09-01,264.8500061035156,1318.0,11570.055649840157
1988-10-01,279.0899963378906,1467.3800048828125,11578.630066700873
1988-11-01,287.510009765625,1552.18994140625,11377.64928760311
1988-12-01,281.95001220703125,1521.1600341796875,11511.44571180487
1989-01-01,285.6499938964844,1620.239990234375,11972.569759640051
1989-02-01,308.8599853515625,1711.25,11694.9421794214
1989-03-01,299.7699890136719,1625.5400390625,11949.99407980424
1989-04-01,310.2099914550781,1709.81005859375,12029.295102024707
1989-05-01,324.1099853515625,1737.6300048828125,12403.342937206457
