Date,salaire_SMIC,taux_SMIC,cotisations_SMIC,cotisations_cumulees_SMIC,salaire_median,taux_median,cotisations_median,cotisations_cumulees_median,salaire_D9,taux_D9,cotisations_D9,cotisations_cumulees_D9,SP500_var,CAC40_var,WGBI_var,CAC40_50/50_SMIC,CAC40_50/50_median,CAC40_50/50_D9,SNP500_50/50_SMIC,SNP500_50/50_median,SNP500_50/50_D9,CAC40_75/25_SMIC,CAC40_75/25_median,CAC40_75/25_D9,SNP500_75/25_SMIC,SNP500_75/25_median,SNP500_75/25_D9
1985-01-01,618.0,16.35,101.043,101.043,1156.0,16.35,189.006,189.006,1860.0,11.31,210.366,210.366,,,,101.043,189.006,210.366,101.043,189.006,210.366,101.043,189.006,210.366,101.043,189.006,210.366
1985-02-01,618.0,16.35,101.043,202.086,1156.0,16.35,189.006,378.012,1860.0,11.31,210.366,420.732,0.04657325740985052,0.04068983022017503,0.023562379129336453,205.2901129195954,384.005453940214,427.40278786698343,205.5873524863586,384.56145545991996,428.0216243890751,205.7227651797383,384.8147516954328,428.30354621102725,206.1686245298831,385.6487539749916,429.2318009941647
1985-03-01,618.0,16.35,101.043,303.129,1156.0,16.35,189.006,567.018,1860.0,11.31,210.366,631.0980000000001,0.009976287436260556,0.00871705809031087,-0.03933639238065878,303.10484747518444,566.9728214907981,631.0477157642256,303.52685364992124,567.7622052092378,631.9263095406841,306.0021182900967,572.3923118824462,637.0796751503268,306.6410327883631,573.5874335005626,638.409860193747
1985-04-01,618.0,16.35,101.043,404.172,1156.0,16.35,189.006,756.024,1860.0,11.31,210.366,841.464,0.003327447246957327,0.002934249834196656,0.018970371901573024,407.3415408056907,761.9527850669555,848.0628106165685,407.8276664757893,762.8621075178194,849.0748976757013,409.04256716230543,765.134640193568,851.6042544626104,409.7760800623662,766.5067128674681,853.1313882050188
1985-05-01,618.0,16.35,101.043,505.21500000000003,1156.0,16.35,189.006,945.03,1860.0,11.31,210.366,1051.8300000000002,0.0023808408834562478,0.002105600995782053,0.023090050903089132,513.346820713348,960.2409785511816,1068.7600059992692,513.8949936409261,961.266363509564,1069.9012720551357,512.9226858468876,959.4476130080939,1067.8769804030596,513.7458764331027,960.9874322923408,1069.5908181836057
1985-06-01,618.0,16.35,101.043,606.258,1156.0,16.35,189.006,1134.036,1860.0,11.31,210.366,1262.1960000000001,0.03586399096996473,0.031272719960348416,0.0049523248494087735,623.4744206111268,1166.2401783599717,1298.0396461534226,625.2120100426592,1169.490426552288,1301.6572123218239,626.4178618497687,1171.7460328451982,1304.1677298366876,629.0300968683265,1176.6323494818532,1309.606260283269
1985-07-01,618.0,16.35,101.043,707.301,1156.0,16.35,189.006,1323.0420000000001,1860.0,11.31,210.366,1472.5620000000001,0.01202688615984937,0.01049820422308323,-0.041113891945891545,714.7141839568753,1336.9087324500774,1487.995843574241,716.9023274521747,1341.0017646192782,1492.5514386627888,725.6940285563419,1357.4470825422834,1510.8552795471571,729.0200858855533,1363.6686396176367,1517.7799490058715
1985-08-01,618.0,16.35,101.043,808.344,1156.0,16.35,189.006,1512.0480000000002,1860.0,11.31,210.366,1682.928,0.0020796877854483142,0.001859436181978813,0.014689459668413285,821.3739319574163,1536.4211413313483,1710.0556057337355,823.6582209319631,1540.6940184423129,1714.8113704519199,830.1123963672692,1552.7668773471896,1728.2486107320342,833.5743498269868,1559.242634951451,1735.456208502359
1985-09-01,618.0,16.35,101.043,909.3870000000001,1156.0,16.35,189.006,1701.0540000000003,1860.0,11.31,210.366,1893.294,-0.002015940575967101,-0.0017069723752193289,-0.0022464344497907796,920.4518619665852,1721.7513793420267,1916.3304374816926,922.6034438672084,1725.7760212143899,1920.809913329663,929.2813738535118,1738.2674242308408,1934.7129983479097,932.5423507954239,1744.3672451772006,1941.502173999486
1985-10-01,618.0,16.35,101.043,1010.4300000000001,1156.0,16.35,189.006,1890.0600000000004,1860.0,11.31,210.366,2103.6600000000003,-0.014993454106674409,-0.013019360489292309,-0.00946277933994355,1010.7653527303006,1890.687294103928,2104.358186044183,1011.9812013188597,1892.9615998779966,2106.889516311305,1018.6656747434591,1905.465242724011,2120.806224410226,1020.5050452697913,1908.9058775596743,2124.635693251634
